73	58	13362,11	22,81	2,05	2,39	19,44	1974,68	7325,20	11,39	1,76	2,26	1970,01	3,59
73	59	13222,22	21,44	2,08	2,41	28,45	1951,24	6452,57	10,76	1,46	2,21	1888,88	103,13
73	60	13097,88	25,08	1,81	2,30	6,94	1986,91	6554,47	10,63	2,10	1,39	1892,38	88,83
73	61	11993,74	22,92	2,00	2,21	19,20	1974,23	6758,29	8,03	2,69	1,75	553,07	1435,28
73	61	12458,23	24,26	1,32	2,77	11,02	1982,29	5828,34	6,62	1,40	1,26	498,11	1484,50
73	63	12236,72	25,13	1,44	2,64	10,40	1941,36	5139,45	6,41	1,44	1,44	581,98	1407,73
73	63	13240,58	24,74	1,39	2,34	39,81	1948,22	17948,73	19,58	5,87	5,35	1897,10	94,74
73	65	16228,33	29,17	1,78	1,90	23,30	1967,61	17991,45	17,12	5,26	4,67	1894,27	101,32
73	66	14821,13	27,45	1,48	1,91	7,57	1893,62	16461,71	14,16	4,64	4,92	1885,95	104,20
73	66	1957,09	5,16	0,28	2,31	226,93	509,00	17416,39	15,40	5,44	5,29	1893,81	98,21
73	68	13851,91	25,50	1,36	1,86	5,90	1939,49	5735,94	8,24	1,94	1,80	654,28	1338,16
73	69	2387,38	6,60	1,05	1,93	295,81	417,77	7744,47	8,05	2,45	1,13	683,52	1278,84
73	70	2881,91	6,21	0,76	2,42	390,27	455,58	9526,43	9,80	2,27	1,55	768,34	1221,69
73	71	2933,54	6,34	0,52	2,41	474,97	459,51	9876,19	11,35	1,57	1,82	831,74	1132,49
73	71	3932,74	7,22	1,38	1,77	378,44	556,13	10283,81	11,39	1,65	1,52	870,30	1122,39
73	72	3294,02	6,91	0,74	2,12	358,55	606,96	10615,01	11,10	1,45	1,54	852,14	1140,74
73	74	3860,29	8,68	1,28	2,13	386,18	458,42	11698,53	12,02	1,95	1,14	858,78	1089,47
73	76	4789,29	9,75	2,18	2,21	399,93	584,01	9914,51	11,30	1,49	1,43	812,16	1133,06
73	76	4116,34	7,43	1,96	1,86	401,31	692,84	10371,37	12,14	1,98	1,13	888,17	1070,61
73	77	4134,25	7,38	1,38	2,02	403,40	625,24	11263,35	12,29	1,65	1,73	766,52	1220,58
73	78	4164,69	8,30	1,46	2,10	338,44	654,32	12211,93	12,12	1,36	1,29	923,31	1050,55
73	79	4560,24	9,14	1,74	2,04	419,33	603,01	16337,84	14,72	3,16	3,33	1010,81	982,41
73	80	5139,42	9,39	1,56	1,81	470,37	554,34	19447,43	17,18	4,34	5,51	1091,20	898,45
73	80	5987,27	10,79	1,46	1,70	408,66	735,36	19389,08	17,24	4,28	5,33	1073,77	905,88
73	81	5095,47	9,81	2,00	2,16	471,83	555,99	19076,22	17,05	3,93	5,01	1054,50	917,60
73	83	5880,02	10,11	2,00	2,03	470,81	672,73	13074,19	12,72	1,30	2,60	924,88	1048,21
73	84	7259,06	10,79	1,59	2,22	466,36	740,67	9810,21	11,65	1,64	2,12	1012,25	936,65
73	85	6216,41	9,74	1,58	1,97	518,16	633,47	12538,25	13,44	2,29	1,57	1106,48	875,59
73	86	5818,13	8,94	1,97	2,29	553,12	725,62	13092,74	13,18	1,43	1,79	1021,19	966,99
73	87	7014,46	10,15	1,80	2,34	587,78	609,96	11679,67	12,57	1,72	1,43	1004,63	928,89
73	89	7279,79	10,69	1,77	1,83	565,17	655,62	11164,87	11,68	1,73	1,84	1090,01	858,27
73	90	7678,58	12,08	2,17	1,73	604,95	702,06	10395,73	10,55	1,43	2,11	994,22	903,96
73	90	8462,28	12,18	1,71	2,21	635,28	631,38	9265,27	9,91	1,73	1,91	992,64	843,27
73	91	9043,23	12,08	2,02	2,24	665,00	537,65	9725,45	11,73	1,63	1,93	935,35	935,78
73	92	8777,87	13,24	1,88	1,98	478,40	857,01	10887,19	11,70	2,05	1,59	1051,77	902,47
73	93	8652,99	11,59	1,81	2,11	530,95	683,47	10709,47	12,70	1,88	1,63	992,38	834,30
