956	31	10
956	62	12
956	92	9
955	20	8
955	51	-6
955	82	-29
955	113	-42
955	145	-46
955	177	-47
955	207	-47
955	238	-45
955	268	-46
955	299	-44
955	330	-43
955	361	-43
955	392	-33
955	424	-24
955	454	-14
955	484	12
955	514	16
955	545	15
955	576	19
955	607	15
955	637	13
955	669	17
955	700	13
955	731	18
955	762	12
955	792	15
955	822	16
955	854	17
955	886	18
955	918	17
955	949	28
954	1	36
954	31	38
954	62	37
954	92	35
954	123	24
954	154	17
954	186	16
954	217	14
954	249	16
954	281	13
954	312	15
954	344	12
954	375	15
954	406	15
954	437	19
954	468	14
954	499	16
954	530	18
954	561	17
954	591	19
954	623	25
954	653	31
954	683	38
954	714	35
954	744	34
954	775	33
954	806	29
954	837	18
954	868	14
954	899	12
954	929	18
954	960	17
953	1	15
953	32	16
953	64	16
953	95	18
953	126	16
953	156	17
953	188	16
953	219	15
953	250	17
953	280	17
953	312	17
953	343	27
953	375	38
953	406	36
953	438	35
953	469	33
953	501	36
953	532	32
953	564	34
953	594	35
953	624	25
953	655	15
953	686	9
953	718	12
953	750	14
953	782	11
953	812	11
953	843	5
953	873	10
953	905	15
953	936	6
953	966	10
953	997	2
953	1028	-17
953	1059	-33
953	1090	-36
953	1120	-38
953	1151	-42
953	1182	-41
953	1213	-41
953	1244	-39
953	1275	-36
953	1306	-27
953	1338	-10
953	1368	11
953	1398	11
953	1429	14
953	1461	12
953	1493	11
953	1525	14
953	1557	14
953	1589	13
953	1621	15
953	1653	11
953	1684	15
953	1715	12
953	1746	10
953	1776	12
953	1806	13
953	1836	14
953	1867	12
953	1898	16
953	1928	10
953	1959	14
953	1990	14
953	2022	12
953	2053	13
953	2085	12
953	2116	12
953	2148	16
953	2178	13
953	2208	17
953	2239	11
953	2269	1
953	2299	-25
953	2329	-35
953	2359	-48
953	2390	-48
953	2420	-49
953	2451	-47
953	2481	-48
953	2512	-50
953	2543	-46
953	2575	-38
953	2607	-14
953	2639	8
953	2670	14
953	2701	13
953	2733	17
953	2764	15
953	2795	14
953	2825	16
953	2856	26
953	2886	30
953	2917	38
953	2948	30
953	2979	36
950	10	32
950	41	37
950	73	32
950	105	32
950	135	37
950	166	34
950	197	33
950	227	32
950	258	35
950	288	31
950	319	38
950	349	23
950	380	16
950	410	14
950	440	13
950	470	13
950	503	15
950	535	14
950	567	13
950	599	18
950	629	14
950	659	12
950	689	13
950	719	14
950	750	14
950	780	9
950	810	14
950	840	5
950	871	9
950	901	10
950	932	10
950	962	13
950	992	14
949	31	15
949	63	17
949	93	15
949	123	16
949	153	15
949	184	18
949	215	12
949	246	16
949	278	15
949	309	15
949	341	15
949	371	15
949	402	12
949	433	15
949	465	10
949	496	17
949	528	14
949	558	10
949	588	13
949	618	17
949	651	17
949	683	17
949	714	14
